case	evaluation_mode	priority	performance_status	workload	compile_status	residual_vmi_ops	vmi_instances	local_boundaries	hard_boundaries	fusion_regions	source_tileop_instances	static_assessment	correctness_gate	next_action
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_csa_sparse_idx_tile.pto	static_only	S	not_selected	-	PASS	0	0	2	2	0	6	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_c4_cache_write.pto	static_only	S	not_selected	-	PASS	0	5	8	4	1	18	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_c4_kv_hadamard.pto	static_only	S	not_selected	-	PASS	0	0	0	6	0	6	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_c4_kv_score_proj.pto	static_only	S	not_selected	-	PASS	0	0	0	46	0	46	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_c4_rmsnorm_rope.pto	static_only	S	not_selected	-	PASS	0	28	16	13	11	57	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_c4_softmax_pool.pto	performance_and_static	P1	harness_required	prefill_indexed_softmax	PASS	0	33	5	12	13	50	fusion_candidate_with_local_boundaries	no_standalone_runtime_golden	extend_prefill_softmax_harness
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_c4_state_update.pto	static_only	S	not_selected	-	PASS	0	4	0	6	3	10	fusion_candidate_clean	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_c4_write_map.pto	static_only	S	not_selected	-	PASS	0	0	2	2	0	6	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_qr_hadamard_quant.pto	static_only	S	not_selected	-	PASS	0	6	8	12	4	35	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_qr_proj.pto	static_only	S	not_selected	-	PASS	0	1	2	16	1	22	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_qr_rope.pto	static_only	S	not_selected	-	PASS	0	18	9	8	5	35	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_score.pto	static_only	S	not_selected	-	PASS	0	6	3	10	3	22	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_score_init.pto	static_only	S	not_selected	-	PASS	0	0	1	1	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_score_out.pto	static_only	S	not_selected	-	PASS	0	0	0	2	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_topk.pto	static_only	S	not_selected	-	PASS	0	0	1	9	0	10	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_weights_proj.pto	static_only	S	not_selected	-	PASS	0	1	0	14	1	18	fusion_candidate_clean	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/proj_a_mm.pto	static_only	S	not_selected	-	PASS	0	0	0	33	0	33	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/proj_b_act.pto	static_only	S	not_selected	-	PASS	0	3	3	4	2	10	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/proj_b_mm.pto	static_only	S	not_selected	-	PASS	0	0	0	21	0	21	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/q_rope_prepare.pto	static_only	S	not_selected	-	PASS	0	11	9	8	4	28	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/qk_pv.pto	performance_and_static	P2	macro_after_micro	prefill_fa_qk_pv	PASS	0	8	0	41	2	58	fusion_candidate_clean	full_pipeline_inputs_and_outputs_required	measure_only_after_softmax_microkernels_are_stable
_jit_prefill_attention_csa_test_20260723_031246/ptoas/qkv_rope_rows.pto	static_only	S	not_selected	-	PASS	0	0	0	4	0	4	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/qproj_dequant_rms_nope_rope.pto	static_only	S	not_selected	-	PASS	0	24	8	14	8	46	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/qproj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	24	0	24	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/qr_proj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	23	0	23	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/qr_proj_seed.pto	static_only	S	not_selected	-	PASS	0	0	1	1	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/qr_rms_norm_quant.pto	static_only	S	not_selected	-	PASS	0	21	20	13	5	54	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/quant.pto	static_only	S	not_selected	-	PASS	0	5	7	4	2	16	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/rms_norm.pto	static_only	S	not_selected	-	PASS	0	13	9	8	4	30	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/rope.pto	performance_and_static	P0	sample_ready_diagnostic	prefill_rope	PASS	0	12	5	6	3	23	fusion_candidate_with_local_boundaries	output_differs_and_packing_unresolved	fix_output_contract_before_acceptance
_jit_prefill_attention_csa_test_20260723_031246/ptoas/rope_cs.pto	static_only	S	not_selected	-	PASS	0	8	9	7	4	24	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/split_pre_post.pto	static_only	S	not_selected	-	PASS	0	12	6	7	4	25	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031029/ptoas/kv_proj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	23	0	23	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031029/ptoas/kv_proj_seed.pto	static_only	S	not_selected	-	PASS	0	0	1	1	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031029/ptoas/kv_rms_norm_rope.pto	static_only	S	not_selected	-	PASS	0	32	18	20	11	70	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031029/ptoas/q_rope_prepare.pto	static_only	S	not_selected	-	PASS	0	11	9	8	4	28	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031029/ptoas/qproj_dequant_rms_nope_rope.pto	static_only	S	not_selected	-	PASS	0	24	8	14	8	46	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031029/ptoas/qproj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	24	0	24	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031029/ptoas/qr_proj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	23	0	23	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031029/ptoas/qr_proj_seed.pto	static_only	S	not_selected	-	PASS	0	0	1	1	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031029/ptoas/qr_rms_norm_quant.pto	static_only	S	not_selected	-	PASS	0	21	20	13	5	54	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031234/ptoas/kv_proj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	23	0	23	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031234/ptoas/kv_proj_seed.pto	static_only	S	not_selected	-	PASS	0	0	1	1	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031234/ptoas/kv_rms_norm_rope.pto	static_only	S	not_selected	-	PASS	0	32	18	20	11	70	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031234/ptoas/q_rope_prepare.pto	static_only	S	not_selected	-	PASS	0	11	9	8	4	28	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031234/ptoas/qproj_dequant_rms_nope_rope.pto	static_only	S	not_selected	-	PASS	0	24	8	14	8	46	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031234/ptoas/qproj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	24	0	24	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031234/ptoas/qr_proj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	23	0	23	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031234/ptoas/qr_proj_seed.pto	static_only	S	not_selected	-	PASS	0	0	1	1	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_qkv_proj_rope_test_20260723_031234/ptoas/qr_rms_norm_quant.pto	static_only	S	not_selected	-	PASS	0	21	20	13	5	54	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_rms_norm_test_20260723_030917/ptoas/rms_norm.pto	static_only	S	not_selected	-	PASS	0	13	9	8	4	30	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_rms_norm_test_20260723_030929/ptoas/rms_norm.pto	performance_and_static	P1	harness_required	standalone_rmsnorm	PASS	0	13	9	8	4	30	fusion_candidate_with_local_boundaries	standalone_golden_not_integrated	build_bf16_cpu_golden_and_harness
