case	repeat	status	total_tick	vloop	vld	vst	output_sha256	task_output
rope_vmi_loop	8	1	11950	30	5250	3688	60cb0ef091809959f3780d8060a1db644c141e5a5a7c872ff20abcb5ca27d53d	=== 任务失败 (exit=1) ===
rope_vmi_loop	9	1	11960	30	5250	3688	60cb0ef091809959f3780d8060a1db644c141e5a5a7c872ff20abcb5ca27d53d	=== 任务失败 (exit=1) ===
rope_vmi_loop	10	1	11954	30	5250	3688	60cb0ef091809959f3780d8060a1db644c141e5a5a7c872ff20abcb5ca27d53d	=== 任务失败 (exit=1) ===
rope_vmi_elide	1	1	10780	30	4034	3045	5706f4abb20f4d4e0c3bf440ef6ded6ccc7414f3d74bc4e6ff01afb4444cc8bc	=== 任务失败 (exit=1) ===
rope_vmi_elide	2	1	10801	30	4034	3045	5706f4abb20f4d4e0c3bf440ef6ded6ccc7414f3d74bc4e6ff01afb4444cc8bc	=== 任务失败 (exit=1) ===
rope_vmi_elide	3	1	10787	30	4034	3045	5706f4abb20f4d4e0c3bf440ef6ded6ccc7414f3d74bc4e6ff01afb4444cc8bc	=== 任务失败 (exit=1) ===
rope_vmi_elide	4	1	10787	30	4034	3045	5706f4abb20f4d4e0c3bf440ef6ded6ccc7414f3d74bc4e6ff01afb4444cc8bc	=== 任务失败 (exit=1) ===
rope_vmi_elide	5	1	10789	30	4034	3045	5706f4abb20f4d4e0c3bf440ef6ded6ccc7414f3d74bc4e6ff01afb4444cc8bc	=== 任务失败 (exit=1) ===
rope_vmi_elide	6	1	10777	30	4034	3045	5706f4abb20f4d4e0c3bf440ef6ded6ccc7414f3d74bc4e6ff01afb4444cc8bc	=== 任务失败 (exit=1) ===
rope_vmi_elide	7	1	10802	30	4034	3045	5706f4abb20f4d4e0c3bf440ef6ded6ccc7414f3d74bc4e6ff01afb4444cc8bc	=== 任务失败 (exit=1) ===
rope_vmi_elide	8	1	10749	30	4034	3045	5706f4abb20f4d4e0c3bf440ef6ded6ccc7414f3d74bc4e6ff01afb4444cc8bc	=== 任务失败 (exit=1) ===
rope_vmi_elide	9	1	10799	30	4034	3045	5706f4abb20f4d4e0c3bf440ef6ded6ccc7414f3d74bc4e6ff01afb4444cc8bc	=== 任务失败 (exit=1) ===
rope_vmi_elide	10	1	10783	30	4034	3045	5706f4abb20f4d4e0c3bf440ef6ded6ccc7414f3d74bc4e6ff01afb4444cc8bc	=== 任务失败 (exit=1) ===
rmsnorm_off	1	1	3826	15	321	381	36fc1c28a7658e71ba7ace98542f956f38e19cdb352591342f497b0de12280d0	=== 任务失败 (exit=1) ===
rmsnorm_off	2	1	3839	15	321	381	36fc1c28a7658e71ba7ace98542f956f38e19cdb352591342f497b0de12280d0	=== 任务失败 (exit=1) ===
rmsnorm_off	3	1	3807	15	321	381	36fc1c28a7658e71ba7ace98542f956f38e19cdb352591342f497b0de12280d0	=== 任务失败 (exit=1) ===
rmsnorm_off	4	1	3798	15	321	381	36fc1c28a7658e71ba7ace98542f956f38e19cdb352591342f497b0de12280d0	=== 任务失败 (exit=1) ===
rmsnorm_off	5	1	3810	15	321	381	36fc1c28a7658e71ba7ace98542f956f38e19cdb352591342f497b0de12280d0	=== 任务失败 (exit=1) ===
rmsnorm_off	6	1	3811	15	321	381	36fc1c28a7658e71ba7ace98542f956f38e19cdb352591342f497b0de12280d0	=== 任务失败 (exit=1) ===
rmsnorm_off	7	1	3802	15	321	381	36fc1c28a7658e71ba7ace98542f956f38e19cdb352591342f497b0de12280d0	=== 任务失败 (exit=1) ===
rmsnorm_off	8	1	3813	15	321	381	36fc1c28a7658e71ba7ace98542f956f38e19cdb352591342f497b0de12280d0	=== 任务失败 (exit=1) ===
rmsnorm_off	9	1	3825	15	321	381	36fc1c28a7658e71ba7ace98542f956f38e19cdb352591342f497b0de12280d0	=== 任务失败 (exit=1) ===
rmsnorm_off	10	1	3768	15	321	381	36fc1c28a7658e71ba7ace98542f956f38e19cdb352591342f497b0de12280d0	=== 任务失败 (exit=1) ===
rmsnorm_on	1	1	4548	22	466	499	699399c831d86a23cd6fcec100d08f0c055f645c67ec44f645a3dc8b0571f19a	=== 任务失败 (exit=1) ===
rmsnorm_on	2	1	4479	22	466	499	699399c831d86a23cd6fcec100d08f0c055f645c67ec44f645a3dc8b0571f19a	=== 任务失败 (exit=1) ===
rmsnorm_on	3	1	4552	22	466	499	699399c831d86a23cd6fcec100d08f0c055f645c67ec44f645a3dc8b0571f19a	=== 任务失败 (exit=1) ===
rmsnorm_on	4	1	4523	22	466	499	699399c831d86a23cd6fcec100d08f0c055f645c67ec44f645a3dc8b0571f19a	=== 任务失败 (exit=1) ===
rmsnorm_on	5	1	4533	22	466	499	699399c831d86a23cd6fcec100d08f0c055f645c67ec44f645a3dc8b0571f19a	=== 任务失败 (exit=1) ===
rmsnorm_on	6	1	4547	22	466	499	699399c831d86a23cd6fcec100d08f0c055f645c67ec44f645a3dc8b0571f19a	=== 任务失败 (exit=1) ===
rmsnorm_on	7	1	4545	22	466	499	699399c831d86a23cd6fcec100d08f0c055f645c67ec44f645a3dc8b0571f19a	=== 任务失败 (exit=1) ===
rmsnorm_on	8	1	4515	22	466	499	699399c831d86a23cd6fcec100d08f0c055f645c67ec44f645a3dc8b0571f19a	=== 任务失败 (exit=1) ===
rmsnorm_on	9	1	4540	22	466	499	699399c831d86a23cd6fcec100d08f0c055f645c67ec44f645a3dc8b0571f19a	=== 任务失败 (exit=1) ===
rmsnorm_on	10	1	4506	22	466	499	699399c831d86a23cd6fcec100d08f0c055f645c67ec44f645a3dc8b0571f19a	=== 任务失败 (exit=1) ===
