case	variant	repeat	task_duration_us	output_sha256	profile
prefill_softmax	vmi_candidate	3	99.048	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-3
prefill_softmax	vmi_candidate	4	101.216	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-4
prefill_softmax	vmi_candidate	5	99.866	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-5
prefill_softmax	vmi_loop	1	100.842	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_loop-1
prefill_softmax	vmi_loop	2	99.659	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_loop-2
prefill_softmax	vmi_loop	3	101.456	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_loop-3
prefill_softmax	vmi_loop	4	99.934	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_loop-4
prefill_softmax	vmi_loop	5	100.682	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_loop-5
prefill_softmax	vmi_fused	1	99.107	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_fused-1
prefill_softmax	vmi_fused	2	99.629	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_fused-2
prefill_softmax	vmi_fused	3	97.882	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_fused-3
prefill_softmax	vmi_fused	4	97.175	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_fused-4
prefill_softmax	vmi_fused	5	99.074	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_fused-5
prefill_rope	ordinary	1	81.902	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/ordinary-1
prefill_rope	ordinary	2	82.857	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/ordinary-2
prefill_rope	ordinary	3	83.174	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/ordinary-3
prefill_rope	ordinary	4	80.787	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/ordinary-4
prefill_rope	ordinary	5	81.565	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/ordinary-5
