case	variant	repeat	task_duration_us	output_sha256	profile
decode_rmsnorm_rope	ordinary	1	12.488	5ed034d72e9904cb6579b95548429ca7920f394b9b5b67ba0ba66db52bda7bfb	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/ordinary-1
decode_rmsnorm_rope	ordinary	2	11.600	5ed034d72e9904cb6579b95548429ca7920f394b9b5b67ba0ba66db52bda7bfb	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/ordinary-2
decode_rmsnorm_rope	ordinary	3	11.295	5ed034d72e9904cb6579b95548429ca7920f394b9b5b67ba0ba66db52bda7bfb	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/ordinary-3
decode_rmsnorm_rope	ordinary	4	12.147	5ed034d72e9904cb6579b95548429ca7920f394b9b5b67ba0ba66db52bda7bfb	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/ordinary-4
decode_rmsnorm_rope	ordinary	5	11.256	5ed034d72e9904cb6579b95548429ca7920f394b9b5b67ba0ba66db52bda7bfb	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/ordinary-5
decode_rmsnorm_rope	vmi_candidate	1	11.269	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_candidate-1
decode_rmsnorm_rope	vmi_candidate	2	11.312	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_candidate-2
decode_rmsnorm_rope	vmi_candidate	3	11.316	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_candidate-3
decode_rmsnorm_rope	vmi_candidate	4	11.572	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_candidate-4
decode_rmsnorm_rope	vmi_candidate	5	11.094	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_candidate-5
decode_rmsnorm_rope	vmi_loop	1	12.061	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_loop-1
decode_rmsnorm_rope	vmi_loop	2	11.826	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_loop-2
decode_rmsnorm_rope	vmi_loop	3	12.054	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_loop-3
decode_rmsnorm_rope	vmi_loop	4	12.623	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_loop-4
decode_rmsnorm_rope	vmi_loop	5	11.518	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_loop-5
decode_rmsnorm_rope	vmi_fused	1	10.709	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_fused-1
decode_rmsnorm_rope	vmi_fused	2	10.971	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_fused-2
decode_rmsnorm_rope	vmi_fused	3	10.683	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_fused-3
decode_rmsnorm_rope	vmi_fused	4	11.084	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_fused-4
decode_rmsnorm_rope	vmi_fused	5	10.206	ad2768c71558afa4e64ecb45bc3c5c0b7218a9289cde676b5f2fd8cc680042a5	${RESULT_ROOT}/decode_rmsnorm_rope/profiles/vmi_fused-5
decode_comb_sinkhorn	ordinary	1	59.205	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/ordinary-1
decode_comb_sinkhorn	ordinary	2	59.668	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/ordinary-2
decode_comb_sinkhorn	ordinary	3	59.731	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/ordinary-3
decode_comb_sinkhorn	ordinary	4	59.745	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/ordinary-4
decode_comb_sinkhorn	ordinary	5	59.709	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/ordinary-5
decode_comb_sinkhorn	vmi_candidate	1	59.571	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_candidate-1
