status	case	seconds	input_sha256	output	phase_ir	residual_vmi_ops	diagnostic
PASS	_jit_attention_csa_test_20260723_032646/ptoas/mix_x.pto	43	04b0ad82120c982cbfab33173d31c1407e8031767e07adc80b5a0dd8e2ee60fb	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/mix_x.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/mix_x	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48422, socket=/tmp/tilelib_daemon_48419.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48422)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/proj_a_mm.pto	51	22dfaf085e920071180888d21a507f1567d724368830d812a6da3ddb4cd4e279	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/proj_a_mm.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/proj_a_mm	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48491, socket=/tmp/tilelib_daemon_48488.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48491)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/proj_b_act.pto	24	40624f96feef649ab22d79291b5189d095bdfd66540107fe6dd8392da86e0635	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_act.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_act	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48574, socket=/tmp/tilelib_daemon_48571.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48574)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/proj_b_mm.pto	39	774bbfc38e0c177005c988fb2260ff2bed3231c722f61cd5af7a30031a691ffc	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_mm.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_mm	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48612, socket=/tmp/tilelib_daemon_48609.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48612)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/q_rope_prepare.pto	43	c7c0283c6b49b9e60a044cf76e98c76e5e59ce1bf1150cd716eb2e7cb83e392f	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/q_rope_prepare.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/q_rope_prepare	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48678, socket=/tmp/tilelib_daemon_48674.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48678)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	72	90fb126e1a3f52e863dcc24bfe42c6a865142bd7c2385b7dc7bf7bc3692b66fb	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qk_pv	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48744, socket=/tmp/tilelib_daemon_48741.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48744)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qproj_dequant_rms_nope_rope.pto	71	150dcc7ab98279c6946eace5a6b222e7605efc13a6d466cac1d5a493b13e3cb9	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qproj_dequant_rms_nope_rope.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qproj_dequant_rms_nope_rope	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48875, socket=/tmp/tilelib_daemon_48872.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48875)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qproj_matmul.pto	37	dbac01ce7c570a9bf66ee8976170b58c50665394c4936648def602f352aa07ca	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qproj_matmul.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qproj_matmul	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48982, socket=/tmp/tilelib_daemon_48979.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48982)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_matmul.pto	10	ab510cd9de0b3abaad0f6ab85036ca534254f46934aecc3d7c4321cf1bd651b9	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_matmul.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_matmul	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=49038, socket=/tmp/tilelib_daemon_49035.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=49038)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_quant.pto	25	3b1a2c5b806d7b566570c29913f3dd86388b2b820f3150e96a1c2f2c08b10bbe	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_quant.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_quant	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=49063, socket=/tmp/tilelib_daemon_49060.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=49063)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_matmul.pto	36	f0e0b684ff862f7d91f74178fec06ecfc0972b4b71abdb278fec5a03bd2dd2fd	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_matmul.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_matmul	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=49102, socket=/tmp/tilelib_daemon_49099.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=49102)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_seed.pto	4	179ceb369fa2a3bbf1e0aa67f77fd6dc0b609e16deb0e8512241f0b0defe29e9	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_seed.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_seed	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=49172, socket=/tmp/tilelib_daemon_49169.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=49172)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_rms_norm_quant.pto	83	03d782dee6b3c02b07afc239304ea24975cf43467af534072be03119ab370e16	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_rms_norm_quant.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_rms_norm_quant	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=49180, socket=/tmp/tilelib_daemon_49179.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=49180)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_rope.pto	59	24e6211e8a521e4c9f148d4e564477c10d98e13745cd2ab843ad1489f4f989cb	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_rope.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_rope	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=49303, socket=/tmp/tilelib_daemon_49300.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=49303)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/quant.pto	28	f52ff334321a2a993ccb24e595d2ee494ddca001241b57c68a22915716818b56	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/quant.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/quant	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=49396, socket=/tmp/tilelib_daemon_49393.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=49396)
