status	case	seconds	input_sha256	output	phase_ir	residual_vmi_ops	diagnostic
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_rms_norm_quant.pto	106	03d782dee6b3c02b07afc239304ea24975cf43467af534072be03119ab370e16	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_rms_norm_quant.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_rms_norm_quant	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_rope.pto	78	24e6211e8a521e4c9f148d4e564477c10d98e13745cd2ab843ad1489f4f989cb	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_rope.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_rope	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/quant.pto	36	f52ff334321a2a993ccb24e595d2ee494ddca001241b57c68a22915716818b56	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/quant.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/quant	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	61	7269ac8b43b6087cfcf650c2fea14f35ac0865e2bee2ecab05c21d6245259382	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/rms_norm	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	111	2b569e1beb8c5e394beab1388e1fc05da9700b3d41b18cfe3256fbc20290b416	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope_cache_write.pto	113	baa66115afee1a183e07a8b8955407b629b74659851099a91a077e7b79abb276	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope_cache_write.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope_cache_write	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/rope_cs.pto	50	9fc80ec53033dd8ae995ee7ac2b0592c744f2aeab357fbb0eafdb01b07dd3259	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/rope_cs.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/rope_cs	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/scatter_softmax_pool.pto	98	a94b3a06d7f771aa1e5edff2045c23b513b28d0b3f6a8d77a2cda20e9a8987b9	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/scatter_softmax_pool.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/scatter_softmax_pool	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/scatter_softmax_pool_0.pto	100	16b7f9a296469a9d3ef9aceccb96d82b207033d166bc30b256903f8790f7b8aa	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/scatter_softmax_pool_0.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/scatter_softmax_pool_0	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/score_mat.pto	31	9a198a60f718e2887ff24628fd15734b5ebf70188a54ea3d9347305583d9ed08	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/score_mat.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/score_mat	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/score_reduce.pto	82	966f34addf7b14d886f2bdd87658fb541bffc29a5551e9d75c5ae66fd7a37ec1	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/score_reduce.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/score_reduce	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/split_pre_post.pto	49	47bc798b787da9cc5f37051e6423ec04a23f55a9585e27ebe76bf7fbaa0e0267	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/split_pre_post.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/split_pre_post	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/topk.pto	27	9a280594670a49dba96498b27036a3aa2c5fc5e3ffb5225e1a7f7ad1305f07c3	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/topk.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/topk	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/weights_proj.pto	25	09bd9bb3b81504fcfdd6328e3a4f82aee2dd04a960df7cd3bc6f0f035bea81dd	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/weights_proj.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/weights_proj	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/weights_proj_reduce.pto	16	ca42bde47e674a8c669c063f2689c91b6b958b6ca8cadd069e5d71eeb8ecd497	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/weights_proj_reduce.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/weights_proj_reduce	0	cached
